id,type,address,number,postal_code,municipality,province,location,public,available,hours,concat_address,location_geo,coords,lat,lon,alt
87.0,,Uitbreidingstraat,,2600.0,Berchem,Antwerpen,,,,,"Uitbreidingstraat , Antwerpen, 2600, Belgique","Uitbreidingstraat, Oud-Berchem, Berchem, Antwerpen, Vlaanderen, 2600, België / Belgique / Belgien","(51.1971308, 4.4300786, 0.0)",51.1971308,4.4300786,0.0
102.0,,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,"Nieuwe Weg  1, Antwerpen, 2070, Belgique","1, Nieuwe Weg, Zwijndrecht, Antwerpen, Vlaanderen, 2070, België / Belgique / Belgien","(51.2341134, 4.3204443961465735, 0.0)",51.2341134,4.3204443961465735,0.0
277.0,Appareil Mobile- Mobiel apparaat,Adriaan Brouwerstraat,24.0,2000.0,Antwerpen,Antwerpen,,,,,"Adriaan Brouwerstraat 24, Antwerpen, 2000, Belgique","Grimaldi, 24, Adriaan Brouwerstraat, Nieuwstad-Cadix, Eilandje, Sint-Anna, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien","(51.22736125, 4.404384087968529, 0.0)",51.22736125,4.404384087968529,0.0
282.0,,Kempenarestraat,53.0,2860.0,Sint-Katelijne-Waver,Antwerpen,,Y,,,"Kempenarestraat 53, Antwerpen, 2860, Belgique","Kempenarestraat, Sint-Katelijne-Waver, Mechelen, Antwerpen, Vlaanderen, 2860, België / Belgique / Belgien","(51.0648368, 4.5191621, 0.0)",51.0648368,4.5191621,0.0
319.0,,Sint-Katelijnestraat ,154.0,2800.0,Mechelen,Antwerpen,,,,,"Sint-Katelijnestraat  154, Antwerpen, 2800, Belgique","idewe, 154, Sint-Katelijnestraat, Marokken, Mechelen, Antwerpen, Vlaanderen, 2800, België / Belgique / Belgien","(51.0340562, 4.4755927, 0.0)",51.0340562,4.4755927,0.0
321.0,,Patersstraat,100.0,2300.0,Turnhout,Antwerpen,,,,,"Patersstraat 100, Antwerpen, 2300, Belgique","Paterspand, 100, Patersstraat, Turnhout, Antwerpen, Vlaanderen, 2300, België / Belgique / Belgien","(51.3269454, 4.950121494714731, 0.0)",51.3269454,4.950121494714731,0.0
398.0,,Haarlebeek,3.0,2275.0,Lille,Antwerpen,,,,,"Haarlebeek 3, Antwerpen, 2275, Belgique","3, Haarlebeek, Lille, Turnhout, Antwerpen, Vlaanderen, 2275, België / Belgique / Belgien","(51.2812474, 4.831571119776004, 0.0)",51.2812474,4.831571119776004,0.0
399.0,,Pedro Colomalaan,25.0,2880.0,Bornem,Antwerpen,,,,,"Pedro Colomalaan 25, Antwerpen, 2880, Belgique","25, Pedro Colomalaan, Bornem, Mechelen, Antwerpen, Vlaanderen, 2880, België / Belgique / Belgien","(51.08715575, 4.262119157411085, 0.0)",51.08715575,4.262119157411085,0.0
409.0,,Vlasland,4.0,2260.0,Westerlo,Antwerpen,,Y,,,"Vlasland 4, Antwerpen, 2260, Belgique","Vlaspand, 2,4,6, Vlasland, Zoerle-Parwijs, Westerlo, Turnhout, Antwerpen, Vlaanderen, 2260, België / Belgique / Belgien","(51.0956788, 4.872052207977313, 0.0)",51.0956788,4.872052207977313,0.0
414.0,,Slachthuislaan,74.0,2060.0,Antwerpen,Antwerpen,,,,,"Slachthuislaan 74, Antwerpen, 2060, Belgique","Albert Heijn, 74, Slachthuislaan, Dam, Antwerpen-Noord, Antwerpen, Vlaanderen, 2060, België / Belgique / Belgien","(51.2289255, 4.4378719325387195, 0.0)",51.2289255,4.4378719325387195,0.0
